Equipo;PG;PE;PP;GF;GC
Unión Comercio;1;6;10;17;34
Alianza Lima;11;0;6;32;16
UTC;4;4;9;21;29
Mannucci;3;5;9;11;34
Los Chankas;6;3;8;25;26
Sport Boys;5;4;8;18;20
Sporting Cristal;13;1;3;44;20
Vallejo;4;8;5;19;24
Alianza Atlético;3;5;9;11;19
ADT;8;4;5;29;24
Cienciano;6;8;3;20;20
Melgar;12;2;3;36;19
Universitario;12;4;1;32;7
Cusco FC;9;2;6;22;21
Garcilaso;3;5;9;20;26
Atlético Grau;4;7;6;19;17
Comerciantes U.;6;4;7;22;31
Sport Huancayo;5;4;8;18;29
